PH_VU_tlag_2,PH_VU_tdiff_2,PH_VU_tewma_6,month,hour_sin,hour_cos,iso_week
7.2,0.0,7.190522613340492,9,0.0,1.0,39
7.2,0.0,7.193230438100351,9,0.0,1.0,39
7.2,0.0,7.195164598643108,9,0.25881904510252074,0.9659258262890683,39
7.2,0.0,7.196546141887934,9,0.25881904510252074,0.9659258262890683,39
7.2,0.0,7.197532958491381,9,0.49999999999999994,0.8660254037844387,39
7.2,0.0,7.198237827493844,9,0.49999999999999994,0.8660254037844387,39
7.2,0.0,7.198741305352746,9,0.7071067811865476,0.7071067811865476,39
7.2,0.0,7.199100932394819,9,0.7071067811865476,0.7071067811865476,39
7.2,0.0,7.199357808853442,9,0.8660254037844386,0.5000000000000001,39
7.2,0.0,7.199541292038173,9,0.8660254037844386,0.5000000000000001,39
7.2,0.0,7.199672351455838,9,0.9659258262890683,0.25881904510252074,39
7.2,0.0,7.199765965325598,9,0.9659258262890683,0.25881904510252074,39
7.2,0.0,7.199832832375427,9,1.0,6.123233995736766e-17,39
7.2,0.0,7.199880594553877,9,1.0,6.123233995736766e-17,39
7.2,0.0,7.1999147103956265,9,0.9659258262890683,-0.25881904510252063,39
7.2,0.0,7.199939078854019,9,0.9659258262890683,-0.25881904510252063,39
7.2,0.0,7.199956484895727,9,0.8660254037844387,-0.4999999999999998,39
7.2,-0.009999999999999787,7.1999689177826625,9,0.8660254037844387,-0.4999999999999998,39
7.2,-0.09000000000000075,7.199977798416187,9,0.7071067811865476,-0.7071067811865475,39
7.19,-0.09000000000000075,7.197126998868705,9,0.7071067811865476,-0.7071067811865475,39
7.109999999999999,0.07000000000000117,7.172233570620503,9,0.49999999999999994,-0.8660254037844387,39
7.1,0.07000000000000028,7.151595407586074,9,0.49999999999999994,-0.8660254037844387,39
7.180000000000001,0.019999999999999574,7.159711005418624,9,0.258819045102521,-0.9659258262890682,39
7.17,0.03000000000000025,7.16265071815616,9,0.258819045102521,-0.9659258262890682,39
7.2,0.0,7.173321941540114,9,1.2246467991473532e-16,-1.0,39
7.2,-0.0600000000000005,7.180944243957224,9,1.2246467991473532e-16,-1.0,39
7.2,-0.10000000000000053,7.186388745683732,9,-0.2588190451025208,-0.9659258262890683,39
7.14,-0.040000000000000036,7.173134818345522,9,-0.2588190451025208,-0.9659258262890683,39
7.1,0.0,7.152239155961087,9,-0.4999999999999997,-0.8660254037844388,39
7.1,0.0,7.137313682829348,9,-0.4999999999999997,-0.8660254037844388,39
7.1,0.0,7.126652630592392,9,-0.7071067811865471,-0.7071067811865479,39
7.1,0.0,7.11903759328028,9,-0.7071067811865471,-0.7071067811865479,39
7.1,0.0,7.113598280914485,9,-0.8660254037844385,-0.5000000000000004,39
7.1,0.0,7.1097130577960606,9,-0.8660254037844385,-0.5000000000000004,39
7.1,0.0,7.106937898425757,9,-0.9659258262890683,-0.25881904510252063,39
7.1,0.0,7.104955641732683,9,-0.9659258262890683,-0.25881904510252063,39
7.1,0.0,7.103539744094774,9,-1.0,-1.8369701987210297e-16,39
7.1,0.0,7.102528388639124,9,-1.0,-1.8369701987210297e-16,39
7.1,0.03000000000000025,7.101805991885088,9,-0.9659258262890684,0.2588190451025203,39
7.1,0.08333333333333393,7.1012899942036345,9,-0.9659258262890684,0.2588190451025203,39
7.13,0.07000000000000028,7.109492853002596,9,-0.8660254037844386,0.5000000000000001,39
7.183333333333334,0.016666666666666607,7.130590133097092,9,-0.8660254037844386,0.5000000000000001,39
7.2,0.0,7.15042152364078,9,-0.7071067811865477,0.7071067811865474,39
7.2,0.0,7.1645868026005575,9,-0.7071067811865477,0.7071067811865474,39
7.2,0.0,7.174704859000398,9,-0.5000000000000004,0.8660254037844384,39
7.2,0.0,7.181932042143141,9,-0.5000000000000004,0.8660254037844384,39
7.2,0.0,7.1870943158165295,9,-0.25881904510252157,0.9659258262890681,39
7.2,0.0,7.190781654154664,9,-0.25881904510252157,0.9659258262890681,39
