TP_VU_tlag_2,TP_VU_troll_mean_6,TP_VU_troll_max_6,TP_VU_tdiff_2,TP_VU_tdiff_6,TP_VU_tpct_6,TP_VU_tewma_6,SS_VU_roll_std_12,TA_368_roll_mean_24,RN_12H_541_lag_72steps
0.036,0.03640000000000001,0.0372,0.0010000000000000009,0.0,0.0,0.036804835532449356,0.0,23.48166666666667,0.0
0.03679999999999999,0.036333333333333336,0.037,-0.0005999999999999964,0.0,0.0,0.03680345395174954,0.0,23.266527777777778,0.0
0.037,0.036333333333333336,0.037,-0.0010000000000000009,0.0,0.0,0.03685960996553538,0.0,23.05,0.0
0.036199999999999996,0.036333333333333336,0.037,-0.0001999999999999988,0.0,0.0,0.036671149975382414,0.0,22.820694444444445,0.0
0.036,0.036333333333333336,0.037,0.0,0.0,0.0,0.036479392839558866,0.0,22.587777777777777,0.0
0.036,0.036333333333333336,0.037,-0.0015999999999999973,-0.0023999999999999924,-0.06521739130434767,0.03634242345682776,0.0,22.338194444444444,0.0
0.036,0.03633333333333334,0.037,-0.001999999999999995,-0.0029999999999999957,-0.08108108108108092,0.036244588183448403,0.0,22.04791666666667,0.0
0.0344,0.03593333333333334,0.037,-0.0011999999999999997,-0.0029999999999999957,-0.08287292817679548,0.03571756298817743,0.0,21.752222222222226,0.0
0.034,0.03543333333333334,0.036199999999999996,-0.0010000000000000009,-0.0029999999999999957,-0.08333333333333326,0.035226830705841025,0.0,21.48375,0.0
0.0332,0.034933333333333344,0.036,-0.0009666666666666643,-0.0037666666666666612,-0.10462962962962952,0.034647736218457875,0.0,21.236944444444447,0.0
0.033,0.034433333333333344,0.036,-0.0010000000000000009,-0.003999999999999997,-0.11111111111111105,0.03417695444175563,0.0,20.98888888888889,0.0
0.032233333333333336,0.03380555555555557,0.036,-0.0010000000000000009,-0.003166666666666665,-0.09205426356589141,0.03362163412506354,0.0,20.734305555555554,0.0
0.032,0.0331388888888889,0.0344,-0.0010000000000000044,-0.003000000000000006,-0.08823529411764719,0.0331583100893311,0.0,20.488055555555558,0.0
0.031233333333333335,0.032611111111111125,0.034,-0.0010000000000000009,-0.002966666666666666,-0.0893574297188755,0.032608316730474596,0.0,20.268333333333334,0.0
0.030999999999999996,0.032111111111111125,0.0332,-0.0010000000000000009,-0.003000000000000006,-0.09090909090909105,0.03214879766462471,0.0,20.07166666666667,0.0
0.030233333333333334,0.031616666666666675,0.033,0.0005333333333333336,-0.0014666666666666682,-0.04550155118924515,0.0316015221413986,0.0,19.889305555555556,0.0
0.029999999999999995,0.031116666666666678,0.032233333333333336,0.0010000000000000009,-0.0010000000000000044,-0.03125000000000011,0.031143944386713286,0.0,19.733611111111113,0.0
