trial_id,n_features_selected,hidden_size,num_layers,dropout,deep_head,use_attention,num_heads,learning_rate,batch_size,weight_decay,patience,gradient_clip,shuffle_train,scheduler_patience,scheduler_factor,stability_ratio,min_features,best_val_rmse,test_r2,test_rmse,test_mae,test_mse,elapsed_sec,status
20,10,384,1,0.1,False,False,2,0.0001,1024,1e-05,30,2.0,True,10,0.5,0.6,10,0.587775164705125,0.017089426517486572,1.230611835213645,0.6216872930526733,1.5144054889678955,21.32284,ok
21,15,128,1,0.2,True,False,8,0.002,512,0.001,10,0.5,False,5,0.3,0.5,15,0.5762108300924402,0.017016589641571045,1.230657411674493,0.5894470810890198,1.5145176649093628,85.711736,ok
22,20,256,1,0.3,False,True,2,0.0002,512,0.001,10,1.0,False,5,0.7,0.4,20,0.6302448276997106,0.008858978748321533,1.2357533642049532,0.6472301483154297,1.5270863771438599,71.877476,ok
23,30,256,1,0.4,True,False,2,0.0002,1024,0.0001,20,1.0,True,3,0.7,0.4,30,0.5918751377083433,0.03229302167892456,1.2210572240324682,0.6147768497467041,1.4909807443618774,17.806948,ok
24,10,384,3,0.1,False,False,8,0.002,1024,0.0001,10,0.5,False,3,0.7,0.5,10,0.587511435785625,-0.008981943130493164,1.2468257655316182,0.6024386882781982,1.5545744895935059,81.160074,ok
25,10,128,4,0.3,False,False,8,0.002,512,0.001,30,1.0,False,3,0.7,0.6,10,0.5913773474156435,0.01784580945968628,1.230138243838166,0.6016214489936829,1.513240098953247,385.286022,ok
26,30,256,3,0.4,True,False,8,0.0005,2048,0.0,30,2.0,False,10,0.5,0.5,30,0.5885192306484726,0.023039162158966064,1.2268816295878016,0.5863344073295593,1.5052385330200195,109.888329,ok
27,20,384,2,0.2,False,False,8,0.0002,2048,0.0001,20,0.5,False,5,0.3,0.6,20,0.5854449694920558,-0.006536602973937988,1.2453140163053424,0.5997575521469116,1.550806999206543,82.537658,ok
28,15,512,4,0.4,True,False,8,0.0002,2048,0.0,20,2.0,True,3,0.7,0.5,15,0.6269758796813866,-0.0025328397750854492,1.2428347262974546,0.6190353035926819,1.5446381568908691,2280.655304,ok
29,15,256,2,0.1,True,True,4,0.002,512,0.001,20,1.0,False,5,0.5,0.4,15,0.5819756650678324,0.024775266647338867,1.2257910081950305,0.5888851881027222,1.5025635957717896,21.330358,ok
30,20,128,1,0.4,True,True,8,0.002,1024,0.0,30,1.0,True,5,0.3,0.6,20,0.5946270952555498,-0.000931859016418457,1.2418420179236866,0.6021483540534973,1.542171597480774,32.557269,ok
